strain_id;probiotic_name;brand;strain_name;target;status;effect;icd;class;references_linkage;reference;taxonomy_id;detailed_effect;ncbi_genome;mbgd_genome;lineage
Probio_H_00404;Lactobacillus acidophilus ;;SBT-2062;Human;Research;Increases bioavailability of iron;;Unspecified class;https://www.ncbi.nlm.nih.gov/pubmed/7751979;"Oda T, Kado-oka Y, and Hashiba H. Effect of Lactobacillus acidophilus on iron bioavailability in rats. <i>J. Nutr. Sci. Vitaminol.</i>. 1994; 40: 613–616.";1579;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/1099;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00405;Lactobacillus amylolyticus;-;P40;Human;Research;Antibacterial activity;A00-B99;(A00-B99) Certain infectious and parasitic diseases;http://www.ncbi.nlm.nih.gov/pubmed/?term=24849010;Grosu-Tudor SS, Stancu MM, Pelinescu D, Zamfir M. Characterization of some bacteriocins produced by lactic acid bacteria isolated from fermented foods. <i>World J Microbiol Biotechnol</i>. 2014 Sep. 30(9):2459-69.;83683;Produce bacteriocins. the bacteriocin-producing strains isolated in our study may find applications as protective cultures.;http://www.ncbi.nlm.nih.gov/genome/2108;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00406;Lactobacillus amylolyticus;-;P50;Human;Research;Antibacterial activity;A00-B99;(A00-B99) Certain infectious and parasitic diseases;http://www.ncbi.nlm.nih.gov/pubmed/?term=24849010;Grosu-Tudor SS, Stancu MM, Pelinescu D, Zamfir M. Characterization of some bacteriocins produced by lactic acid bacteria isolated from fermented foods. <i>World J Microbiol Biotechnol</i>. 2014 Sep. 30(9):2459-69.;83683;Produce bacteriocins. the bacteriocin-producing strains isolated in our study may find applications as protective cultures.;http://www.ncbi.nlm.nih.gov/genome/2108;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00407;Lactobacillus amylovorus;-;ATCC 33620;Human;Research;Produces lactic acid;;Food fermentation for human consuption;http://www.ncbi.nlm.nih.gov/pubmed/?term=19013227;John RP, G S A, Nampoothiri KM, Pandey A. Direct lactic acid fermentation: focus on simultaneous saccharification and lactic acid production. <i>Biotechnol Adv</i>. 2009 Mar-Apr. 27(2):145-52.;1604;Simultaneous saccharification and fermentation can replace the classical double step fermentation by the saccharification of starchy or cellulosic biomass;http://www.ncbi.nlm.nih.gov/genome/2539;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00408;Lactobacillus amylovorus ;;DCE 471;Human;Clinical trial;Displays a clear killing effect toward H. pylori.;B98.0;(A00-B99) Certain infectious and parasitic diseases;;E Avonts, DA Bax, JG Kusters, T Sako, L De Vuyst. Bacteriocin production by probiotic Lactobacillus strains may cause the antibacterial activity against Heli-cobacter pylori. The Food, GI-tract Functionality and Human Health Cluster PROEU-HEALTH, 1st Workshop, Saariselk?, Finland. 1–3 February 2002. VTT Symp. 219, VTT, Espoo, Finland, pp. 44–45.;1604;Info will be available soon;-;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00409;Lactobacillus bifidus;Probiotic Digestive Support;-;Human;Marketed;Maintains Balance of Healthy Bacteria and Supports Immune Health;;Immune health;https://www.amazon.com/Probiotic-Digestive-Support-Digestion-Probiotics/dp/B0176TLA2Y/ref=sr_1_181?s=hpc&ie=UTF8&qid=1480128108&sr=1-181-spons&keywords=Probiotic+Digestive+Support&psc=1;Amazon Website;-;Maintains Balance of Healthy Bacteria and Supports Immune Health;-;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00410;Lactobacillus brevis;"Garden of Life; Dr.Formulas; RenewLife; Sedona Labs; Engineered Evolution; Essential Formulars; Replenish Probiotics; Areca Health; Health Elite; Vitamin Bounty; Activz; Swansom Probiotics; Vitruvian Natural Labs; Prescript-Assist; Wonder Labs; Irwin Naturals; Probulin; Supreme Potential; Ojio; Cell Nutritionals; EARTH'S WISDOM; Axe Naturals; Leaf Origin; AST Enzymes; Advanced Naturals; Nature's Secret; Zahler Biodophilus60; Primal Defense; Dr. Mercola; Original Medicine; Nature's Bounty; Pristine Foods; Swanson; Douglas Laboratories; Scimera; Dr.Mercola; Klaire Labs; replenish;pinnacle;Vitacost; Function;Nutricare Gold;PR Labs;Douglas Laboratories;megafood;original Medicine;Biome Defense;Best Nest";-;Human;Marketed;Supports digestive and immune systems, improves mood, energy, fights infections, improves skin condition;K00-K93;"(K00-K93) Diseases of the digestive system; Immune health";https://www.amazon.com/EARTHS-WISDOM-Best-Probiotics-Supplement-Bacteria/dp/B01M04TZTN/ref=sr_1_1_s_it?s=hpc&ie=UTF8&qid=1479883621&sr=1-1&keywords=Earth’s+Wisdom+probiotics;Amazon Website;1580;Support digestive and immune systems, improve mood, energy, fight infections, improve skin condition;http://www.ncbi.nlm.nih.gov/genome/1110;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00411;Lactobacillus brevis;-;BJ20;Human;Clinical trial;Antioxidant effects;;Oxidative stress in humans;http://www.ncbi.nlm.nih.gov/pubmed/?term=22138360;Kang YM, Lee BJ, Kim JI, Nam BH, Cha JY, Kim YM, Ahn CB, Choi JS, Choi IS, Je JY. Antioxidant effects of fermented sea tangle (Laminaria japonica) by Lactobacillus brevis BJ20 in individuals with high level of ?-GT: A randomized, double-blind, and placebo-controlled clinical study. <i>Food Chem Toxicol</i>. 2012 Mar. 50(3-4):1166-9.;1580;Fermented sea tangle (FST) enhanced the antioxidant defense system in a healthy population and may be useful as a functional food ingredient.;http://www.ncbi.nlm.nih.gov/genome/1110;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00412;Lactobacillus brevis;-;CD2;Human;Clinical trial;Anti-inflammatory activity;K50-51;"(K00-K93) Diseases of the digestive system; Inflammation";http://www.ncbi.nlm.nih.gov/pubmed/?term=17577323;Riccia DN, Bizzini F, Perilli MG, Polimeni A, Trinchieri V, Amicosante G, Cifone MG. Anti-inflammatory effects of Lactobacillus brevis (CD2) on periodontal disease. <i>Oral Dis</i>. 2007 Jul. 13(4):376-85.;1580;Show anti-inflammatory effects on periodontitis patients.;http://www.ncbi.nlm.nih.gov/genome/1110;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00413;Lactobacillus brevis;-;HA-112;Human;Marketed;"Immune stimulation; Inflammation";A00-B99;"(A00-B99) Certain infectious and parasitic diseases; Immune health; Inflammation";http://www.lallemand-health-solutions.com/probiotic-range/immunity/strains-2/;Lallemand website.;1580;Global immune support, common winter infections, suppressed immune function in athletes & stressed people, inflammaging;http://www.ncbi.nlm.nih.gov/genome/1110;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00414;Lactobacillus brevis;LABRE;KB290;Human;Marketed;Food digestion;K00-K93;(K00-K93) Diseases of the digestive system;http://onlinelibrary.wiley.com/doi/10.1111/j.1751-7915.2009.00159.x/full;Roland J. Siezen, Greer Wilson. Probiotics genomics. <i>microbial biotechnology</i>. 2009 Dec. 3(1):1-9.;1580;Improvement of bowel movement, enhances NK activity and interferon-alpha activity;http://www.ncbi.nlm.nih.gov/genome/1110;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00415;Lactobacillus brevis;-;KB290;Human;Clinical trial;Irritable bowel syndrome (IBS);K58;(K00-K93) Diseases of the digestive system;http://www.ncbi.nlm.nih.gov/pubmed/?term=22863114;Murakami K, Habukawa C, Nobuta Y, Moriguchi N, Takemura T. The effect of Lactobacillus brevis KB290 against irritable bowel syndrome: a placebo-controlled double-blind crossover trial. <i>Biopsychosoc Med</i>. 2012 Aug 3. 6(1):16.;1580;Is useful for early intervention in Irritable bowel syndrome (IBS).;http://www.ncbi.nlm.nih.gov/genome/1110;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00416;Lactobacillus brevis;"Nature's Bounty; naturewise; Now Foods; Nutrition Now PB 8;";Lbr-35;Human;Marketed;Supports intestinal health may be a contributing factor to immune health;;Maintenance of human gut microenvironment;https://www.amazon.com/Natures-Bounty-Strength-Probiotic-Capsules/dp/B0139P2QUO/ref=sr_1_3_s_it?s=hpc&ie=UTF8&qid=1479884236&sr=1-3&keywords=Nature%27s+Bounty+probiotics;Amazon Website;1580;Supporting intestinal health may be a contributing factor to immune health;http://www.ncbi.nlm.nih.gov/genome/1110;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00417;Lactobacillus brevis;-;LBr-35;Human;Clinical trial;Prevents postoperative infection;A00-B99;(A00-B99) Certain infectious and parasitic diseases;https://www.ncbi.nlm.nih.gov/pubmed/24570932;Zhang Y, Chen J, Wu J, et al. Probiotic use in preventing postoperative infection in liver transplant patients[J]. <i>Hepatobiliary Surgery & Nutrition</i>. 2013. 2(3):142-7.;1580;Lower the incidence of bacterial infections and shorten the duration of antibiotic therapy following liver transplantation in comparison to conventional nutrition.;http://www.ncbi.nlm.nih.gov/genome/1110;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00418;Lactobacillus brevis;InnovixLabs;SD-5214;Human;Marketed;Essential and influences every aspect of health from mood, metabolism, immunity and digestive comfort;"K00-K93; E00-E90";"(K00-K93) Diseases of the digestive system; Immune health; (E00-E90) Endocrine, nutritional and metabolic diseases";https://www.amazon.com/Multi-Strain-PROBIOTIC-InnovixLabs-Broad-Spectrum/dp/B00X4U2NDK/ref=sr_1_2_s_it?s=hpc&ie=UTF8&qid=1480065584&sr=1-2&keywords=InnovixLabs;Amazon Website;1580;Essential and influences every aspect of health from mood, metabolism, immunity and digestive comfort;http://www.ncbi.nlm.nih.gov/genome/1110;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00419;Lactobacillus buchneri;-;P2;Human;Research;Cholesterol removal;E78.0;(E00-E90) Endocrine, nutritional and metabolic diseases;http://www.ncbi.nlm.nih.gov/pubmed/?term=19912431;Zeng XQ, Pan DD, Guo YX. The probiotic properties of Lactobacillus buchneri  P2. <i>J Appl Microbiol</i>. 2010 Jun. 108(6):2059-66.;1581;Showed probiotic properties of cholesterol reduction, acid and bile tolerance and antimicrobial activity and could remove cholesterol via different ways.;http://www.ncbi.nlm.nih.gov/genome/1731;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]"
Probio_H_00420;Lactobacillus casei;"Dr.TOBIAS; ZENWISELABS; Nutrition Now; Dr.Formulas; Garden of Life; HealthLabs; DNASHIFT; naturewise; Earth’s Wisdom; Amazing Nutrition; Biotanica Research; Pure Naturals; AmNature Supplements; LFI Labs; Optimal Health Labs; OmniBiotics; Natural Factors; HealthKit; Totnes Health; DKV Medicals; Nutrazest; Engineered Evolution; MaxiZest; Life Science Nutritionals; Phi Naturals; Triumvit; ResQ; Essential Formulars; EDIENATURALS; A Better Supplement by Joovio; NeuroBiologix;NutraCura; VitaBlessed; Lee Swanson Signature Line; Areca Health; HB&S Solutions; Health Elite; THIS IS NUTRITION; ABCD Vitamins;Vitamin Bounty; DaVinci; Life Vitality Ventures; Nutrapuris; LoveBug Probiotics; NatureNow; BioGanix; Life Blend; LifePower Labs; Vitruvian Natural Lab; Valosun;NutriCommit; Dr.Valerie Nelson;DrNatura;Nutriza Select;American Vitamin Labs; Irwin Naturals; FoodScience of Vermont;Northwest; Pure; Nutricology; Maverick Essentials;Pro One Nutrition; Savi Wellness; Ojio; Inner Health; SCD Probiotics; MangaNaturals; Alice Foods; Affirm Life; BioTecture; NusaPure; Health Nurture; Sorvita; Al Sports Nutrition; Rejuvenate Me; Enzymedica; Wonder Labs; Ultra6 Nutrition; Ketolabs; NatureOtics; Project Tranquility; VIXE SUPPLEMENTS; BIOME360; Supreme Potential; UitaLife; Gaia Source; Cell Nutritionals; Number One Nutrition; Earth Star; Abundant Health; EARTH'S WISDOM; Sedona Labs; Amazing Nutrition; Botanica Research; Spring of Life; Axe Naturals; AST Enzymes;Kirkman Labs; Dr.Berg's Nutritionais; Leaf Origin;Doctor's Optimum; Nature's Blend ; Enrich naturals; Country Life; Biodigex; Ultra Pro-20; Life Science; Ibplus; Neurobiologyix Biotic Boost; Happy Healthy Smart; Rugby; Puritan's Pride; ProBillionFive; Naturelle Health; Probiotics Formula - #1; UberMale; Probulin P-PAK; Nature's Secret; LA Vegan; Absonutrix; Nature's Potent - Ultra 60; Gastro Intestinal; Synergistic Premium; Prebio 7; LionHeart Supplements; Swanson; VitaCause; Webber Naturals; RxHealthLabs;Biotic Factor; Nutricology Progreens; Premium Health; Zahler Biodophilus60; Klaire Labs; Garden of Life Primal Defense; Biotic Balance; Renew Life Ultimate Flora; Dr. Mercola; EndoMune;Transformation Enemies; Protocol For Life Balance; Nature; Garden of Life; WholeHealth; Nutriclean; Ayush Herbs; Royal Organica; Souletics Health Solutions; Pristine Foods; Original Medicine; WellFuture; Nature's Bounty; Seeking Health; Mt Capra; Pedia-Biotic; LiviaOne; Professional Botanicals; Douglas Laboratories; Genesis Nutrition; Integrative Therapeutics; Advanced Naturals; Dr.Mercola; Now Foods;L&L Supplements;";-;Human;Marketed;Supports urgenital and vaginal health as well as helps to produce the lactase enzyme and protect the gut lining from unwanted materials.;N00-N99;(N00-N99) Diseases of the genitourinary system;https://www.amazon.com/Science-Vermont-Probiotic-ND-Capsules-Count/dp/B005P0NO1W/ref=sr_1_1_a_it?ie=UTF8&qid=1479869824&sr=8-1&keywords=food%2Bscience%2Bof%2Bvermont%2Bprobiotics&th=1;Amazon Website;1582;Support urgenital and vaginal health as well as helps to produce the lactase enzyme and protect the gut lining from unwanted materials.;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00421;Lactobacillus casei;California Balance;-;Human;Marketed;Prevention harmful gut bacteria. It is noted for being effective in alleviation of gastrointestinal pathogenic bacterial diseases. It is commonly used to prevent and help with diahhrea ;;Maintenance of human gut microenvironment;https://www.amazon.com/California-Balance-Daily-Probiotic/dp/B01J50BZFO/ref=sr_1_2_s_it?s=hpc&ie=UTF8&qid=1480039496&sr=1-2&keywords=California+Balance%3B;Amazon Website;1582;Prevention harmful gut bacteria. It is noted for being effective in alleviation of gastrointestinal pathogenic bacterial diseases. It is commonly used to prevent and help with diahhrea ;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00422;Lactobacillus casei;107M96 y 106M96;-;Human;Marketed;Supports digestive and intestinal health;K00-K93;(K00-K93) Diseases of the digestive system;http://www.ncbi.nlm.nih.gov/pubmed/?term=22556209;Fernandez-Carrocera LA, et al. (2013) Double-blind, randomised clinical assay to evaluate the efficacy of probiotics in preterm newborns weighing less than 1500 g in the prevention of necrotising enterocolitis. Archives of disease in childhood. <i>Fetal and neonatal edition</i> 98(1):F5-9.;1582;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00423;Lactobacillus casei;Bio-K+ CL1285;-;Human;Marketed;Food digestion;K00-K93;"(K00-K93) Diseases of the digestive system; (A00-B99) Certain infectious and parasitic diseases";http://onlinelibrary.wiley.com/doi/10.1111/j.1751-7915.2009.00159.x/full;Roland J. Siezen, Greer Wilson. Probiotics genomics. <i>microbial biotechnology</i>. 2009 Dec. 3(1):1-9.;1582;"Improves digestive health; prevents Antiobic Associated Diarrhea (AAD); inhibition of pathogens";http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00424;Lactobacillus casei;Yakult LB;-;Human;Clinical trial;Necrotizing enterocolitis;P77;(P00-P96) Certain conditions originating in the perinatal period;http://www.ncbi.nlm.nih.gov/pubmed/?term=20980486;Braga TD, da Silva GA, de Lira PI, de Carvalho Lima M. Efficacy of Bifidobacterium breve and Lactobacillus casei oral supplementation on necrotizing enterocolitis in very-low-birth-weight preterm infants: a double-blind, randomized, controlled trial. <i>Am J Clin Nutr</i>. 2011 Jan. 93(1):81-6.;1582;Oral supplementation of B. breve and L. casei reduced the occurrence of NEC (Bell's stage = 2). It was considered that an improvement in intestinal motility might have contributed to this result.;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00425;Lactobacillus casei;107M96 y 106M96;-;Human;Clinical trial;Necrotising enterocolitis;P77;(P00-P96) Certain conditions originating in the perinatal period;http://www.ncbi.nlm.nih.gov/pubmed/?term=22556209;Fernández-Carrocera LA, Solis-Herrera A, Cabanillas-Ayón M, Gallardo-Sarmiento RB, García-Pérez CS, Montaño-Rodríguez R, Echániz-Aviles MO. Double-blind, randomised clinical assay to evaluate the efficacy of probiotics in preterm newborns weighing less than 1500 g in the prevention of necrotising enterocolitis. <i>Arch Dis Child Fetal Neonatal Ed</i>. 2013 Jan. 98(1):F5-9.;1582;May offer potential benefits for premature infants and are a promising strategy in the reduction of the risk of NEC in preterm newborns.;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00426;Lactobacillus casei;Biolactis Powder;-;Human;Research;Anti-cancer;C00-C97;(C00-D48) Neoplasms;http://www.ncbi.nlm.nih.gov/pubmed/?term=8221630;Hayatsu H, Hayatsu T. Suppressing effect of Lactobacillus casei administration on the urinary mutagenicity arising from ingestion of fried ground beef in the human. <i>Cancer Lett</i>. 1993 Sep 30. 73(2-3):173-9.;1582;Comparison of the urinary mutagenicity found before and after the L. casei treatment showed that the treatment resulted in a decrease (6-67%, average 47.5%) of the mutagenicity.;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00427;Lactobacillus casei;-;1;Human;Clinical trial;Rheumatoid arthritis;M05;(M00-M99) Diseases of the musculoskeletal system and connective tissue;"http://www.ncbi.nlm.nih.gov/pubmed/?term=24355439; http://www.ncbi.nlm.nih.gov/pubmed/?term=24673738";"Vaghef-Mehrabany E, Alipour B, Homayouni-Rad A, Sharif SK, Asghari-Jafarabadi M, Zavvari S. Probiotic supplementation improves inflammatory status in patients  with rheumatoid arthritis. <i>Nutrition</i>. 2014 Apr. 30(4):430-5.; Alipour B, Homayouni-Rad A, Vaghef-Mehrabany E, Sharif SK, Vaghef-Mehrabany L, Asghari-Jafarabadi M, Nakhjavani MR, Mohtadi-Nia J. Effects of Lactobacillus casei supplementation on disease activity and inflammatory cytokines in rheumatoid arthritis patients: a randomized double-blind clinical trial. <i>Int J Rheum Dis</i>. 2014 Jun. 17(5):519-27.";1582;"L. casei 01 supplementation improved the disease activity and inflammatory status of patients with Rheumatoid arthritis (RA); May be an appropriate adjunct therapy for RA patients and help alleviate symptoms and improve inflammatory cytokines.";http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00428;Lactobacillus casei;-;Bl-23;Human;Research;Listeria monocytogenes infection;A32;(A00-B99) Certain infectious and parasitic diseases;http://www.ncbi.nlm.nih.gov/pubmed/?term=23012479;Archambaud C, Nahori MA, Soubigou G, Bécavin C, Laval L, Lechat P, Smokvina  T, Langella P, Lecuit M, Cossart P. Impact of lactobacilli on orally acquired listeriosis. <i>Proc Natl Acad Sci U S A</i>. 2012 Oct 9. 109(41):16684-9.;1582;The Probiotic Combination Lactobacillus acidophilus CL1285, Lactobacillus casei LBC80R, and Lactobacillus rhamnosus CLR2 (Bio-K+)  was safe and effective in decreasing our primary CDI rate.;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00429;Lactobacillus casei;CRL431;CRL431;Human;Marketed;"Immune stimulation; Food digestion";"A09; K59.1";"(A00-B99) Certain infectious and parasitic diseases; (K00-K93) Diseases of the digestive system; Immune health";http://onlinelibrary.wiley.com/doi/10.1111/j.1751-7915.2009.00159.x/full;Roland J. Siezen, Greer Wilson. Probiotics genomics. <i>microbial biotechnology</i>. 2009 Dec. 3(1):1-9.;1582;Immune stimulation, Alleviation of acute diarrhoea;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00430;Lactobacillus casei;Pharmax;CUL-06;Human;Marketed;Temporarily modify gut flora;;Maintenance of human gut microenvironment;https://www.amazon.com/Pharmax-Probiotic-Supplement-Vegetable-Capsules/dp/B00N4MZ6A0/ref=sr_1_5_a_it?ie=UTF8&qid=1479950661&sr=8-5&keywords=Pharmax+probiotics;Amazon Website;1582;Temporarily modify gut flora;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00431;Lactobacillus casei;DanActive fermented milk Activia yogurt;DN-114 001;Human;Marketed;Food digestion;K00-K93;(K00-K93) Diseases of the digestive system;http://cdrf.org/home/checkoff-investments/usprobiotics/products-with-probiotics/;Products with Probiotics.;1582;promote regularity and digestive health;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
Probio_H_00432;Lactobacillus casei;DanActive Cultured milk;DN-114 001;Human;Marketed;"Immune stimulation; Food digestion";K00-K93;"(K00-K93) Diseases of the digestive system; Immune health";http://www.omicsonline.org/probiotics-mechanisms-of-action-and-clinical-applications-2329-8901.1000101.pdf;Vijaya K Gogineni, Lee E Morrow, Mark A Malesker. Probiotics: Mechanisms of Action and Clinical Applications. <i>J Prob Health</i>. 2013. 1:1.;1582;help strengthen the body's immune system, can remain active in the gastrointestinal system to help regulate the functioning of the digtestive tract.;http://www.ncbi.nlm.nih.gov/genome/652;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Lactobacillales]; [family:Lactobacillaceae]; [genus:Lactobacillus]; [species group:Lactobacillus casei group]"
